"ID"	"ENSEMBLE"	"SYMBOL"	"longname"	"location"	"ENTREZ"
7897295	"NM_138697 "	" TAS1R1 "	" taste receptor, type 1, member 1 "	" 1p36.23 "	" 80835 "
7897305	"NM_001278647 "	" ZBTB48 "	" zinc finger and BTB domain containing 48 "	" 1p36.3 "	" 3104 "
7897322	"NM_153812 "	" PHF13 "	" PHD finger protein 13 "	" 1p36.31 "	" 148479 "
7897329	"NM_001195752 "	" THAP3 "	" THAP domain containing, apoptosis associated protein 3 "	" 1p36.31 "	" 90326 "
7897339	"NM_015215 "	" CAMTA1 "	" calmodulin binding transcription activator 1 "	" 1p36.31-p36.23 "	" 23261 "
7897368	"ENST00000384328 "	" RNU1-8P "	" RNA, U1 small nuclear 8, pseudogene "	" --- "	" ---"
7897370	"NM_004781 "	" VAMP3 "	" vesicle-associated membrane protein 3 "	" 1p36.23 "	" 9341 "
7897378	"NM_001289861 "	" PER3 "	" period circadian clock 3 "	" 1p36.23 "	" 8863 "
7897404	"NM_007262 "	" PARK7 "	" parkinson protein 7 "	" 1p36.23 "	" 11315 "
7897416	"NM_001080397 "	" SLC45A1 "	" solute carrier family 45, member 1 "	" 1p36.23 "	" 50651 "
7897422	""	""	""	""	""
7897424	"ENST00000425872 "	" HMGN2P17 "	" high mobility group nucleosomal binding domain 2 pseudogene 17 "	" --- "	" ---"
7897426	"NM_001215 "	" CA6 "	" carbonic anhydrase VI "	" 1p36.2 "	" 765 "
7897439	""	""	""	""	""
7897441	"NM_001282587 "	" H6PD "	" hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase) "	" 1p36 "	" 9563 "
7897449	"NM_025106 "	" SPSB1 "	" splA/ryanodine receptor domain and SOCS box containing 1 "	" 1p36.22 "	" 80176 "
7897460	"NM_032315 "	" SLC25A33 "	" solute carrier family 25 (pyrimidine nucleotide carrier), member 33 "	" 1p36.22 "	" 84275 "
7897469	"NM_001010866 "	" TMEM201 "	" transmembrane protein 201 "	" 1p36.22 "	" 199953 "
7897482	"NM_005026 "	" PIK3CD "	" phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit delta "	" 1p36.2 "	" 5293 "
7897509	"NM_022787 "	" NMNAT1 "	" nicotinamide nucleotide adenylyltransferase 1 "	" 1p36.22 "	" 64802 "
7897520	"ENST00000365545 "	" RN7SKP269 "	" RNA, 7SK small nuclear pseudogene 269 "	" --- "	" ---"
7897522	"NM_052960 "	" RBP7 "	" retinol binding protein 7, cellular "	" 1p36.22 "	" 116362 "
7897527	"NM_001105562 "	" UBE4B "	" ubiquitination factor E4B "	" 1p36.3 "	" 10277 "
7897559	"ENST00000364876 "	" RNU6-828P "	" RNA, U6 small nuclear 828, pseudogene "	" --- "	" ---"
7897561	"NM_015074 "	" KIF1B "	" kinesin family member 1B "	" 1p36.2 "	" 23095 "
7897620	"NM_002631 "	" PGD "	" phosphogluconate dehydrogenase "	" 1p36.22 "	" 5226 "
7897632	"NM_001270517 "	" APITD1-CORT "	" APITD1-CORT readthrough "	" 1p "	" 100526739 "
7897648	"NM_004565 "	" PEX14 "	" peroxisomal biogenesis factor 14 "	" 1p36.22 "	" 5195 "
7897661	"ENST00000461850 "	" RN7SL614P "	" RNA, 7SL, cytoplasmic 614, pseudogene "	" --- "	" ---"
7897663	"NM_007375 "	" TARDBP "	" TAR DNA binding protein "	" 1p36.22 "	" 23435 "
7897675	"NM_021146 "	" ANGPTL7 "	" angiopoietin-like 7 "	" 1p36 "	" 10218 "
7897683	"ENST00000384720 "	" RNU6-291P "	" RNA, U6 small nuclear 291, pseudogene "	" --- "	" ---"
7897685	"NM_013319 "	" UBIAD1 "	" UbiA prenyltransferase domain containing 1 "	" 1p36.22 "	" 29914 "
7897691	"NM_020780 "	" PTCHD2 "	" patched domain containing 2 "	" 1p36.22 "	" 57540 "
7897714	"NM_001014765 "	" FBXO44 "	" F-box protein 44 "	" 1p36.22 "	" 93611 "
7897728	"NM_018438 "	" FBXO6 "	" F-box protein 6 "	" 1p36.22 "	" 26270 "
7897737	"NM_198545 "	" DRAXIN "	" dorsal inhibitory axon guidance protein "	" 1p36.22 "	" 374946 "
7897745	"NM_001040194 "	" AGTRAP "	" angiotensin II receptor-associated protein "	" 1p36.22 "	" 57085 "
7897753	"NM_001010881 "	" C1orf167 "	" chromosome 1 open reading frame 167 "	" 1p36.22 "	" 284498 "
7897774	"NM_001256959 "	" CLCN6 "	" chloride channel, voltage-sensitive 6 "	" 1p36 "	" 1185 "
7897801	"ENST00000362477 "	" RNU5E-1 "	" RNA, U5E small nuclear 1 "	" 1p36.22 "	" 26829 "
7897803	"NM_000302 "	" PLOD1 "	" procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1 "	" 1p36.22 "	" 5351 "
7897824	"NM_001127660 "	" MFN2 "	" mitofusin 2 "	" 1p36.22 "	" 9927 "
7897849	"ENST00000460823 "	" MIIP "	" migration and invasion inhibitory protein "	" 1p36.22 "	" 60672 "
7897860	"NM_001243 "	" TNFRSF8 "	" tumor necrosis factor receptor superfamily, member 8 "	" 1p36 "	" 943 "
7897877	"NM_001066 "	" TNFRSF1B "	" tumor necrosis factor receptor superfamily, member 1B "	" 1p36.22 "	" 7133 "
7897890	"NM_015378 "	" VPS13D "	" vacuolar protein sorting 13 homolog D (S. cerevisiae) "	" 1p36.22 "	" 55187 "
7897953	"NR_003022 "	" SNORA59B "	" small nucleolar RNA, H/ACA box 59B "	" 17p11.2 "	" 677882 "
7897955	"NM_001013630 "	" AADACL4 "	" arylacetamide deacetylase-like 4 "	" 1p36.21 "	" 343066 "
7897960	"NM_001103170 "	" AADACL3 "	" arylacetamide deacetylase-like 3 "	" 1p36.21 "	" 126767 "
7897964	""	""	""	""	""
7897966	"NM_152290 "	" C1orf158 "	" chromosome 1 open reading frame 158 "	" 1p36.21 "	" 93190 "
7897974	"NM_001080830 "	" PRAMEF12 "	" PRAME family member 12 "	" 1p36.21 "	" 390999 "
7897978	"NM_001024661 "	" PRAMEF14 "	" PRAME family member 14 "	" 1p36.21 "	" 729528 "
7897987	"NM_023014 "	" PRAMEF2 "	" PRAME family member 2 "	" 1p36.21 "	" 65122 "
7897991	"NM_001012276 "	" PRAMEF8 "	" PRAME family member 8 "	" 1p36.21 "	" 391002 "
7897995	"ENST00000384703 "	" RNU6-1072P "	" RNA, U6 small nuclear 1072, pseudogene "	" --- "	" --- "
7897997	"NM_001099850 "	" LOC391003 "	" PRAME family member-like "	" 1p36.21 "	" 391003 "
7898002	"XM_006724955 "	" PRAMEF25 "	" PRAME family member 25 "	" 1p36.21 "	" 441873 "
7898007	"NM_001009611 "	" PRAMEF4 "	" PRAME family member 4 "	" 1p36.21 "	" 400735 "
7898012	"NM_001009611 "	" PRAMEF4 "	" PRAME family member 4 "	" 1p36.21 "	" 400735 "
7898020	"NM_001039361 "	" PRAMEF10 "	" PRAME family member 10 "	" 1p36.21 "	" 343071 "
7898026	"NM_001045480 "	" PRAMEF16 "	" PRAME family member 16 "	" 1p36.21 "	" 654348 "
7898030	"NM_001099852 "	" PRAMEF20 "	" PRAME family member 20 "	" 1p36.21 "	" 645425 "
7898034	"NM_001039361 "	" PRAMEF10 "	" PRAME family member 10 "	" 1p36.21 "	" 343071 "
7898040	"NM_001009611 "	" PRAMEF4 "	" PRAME family member 4 "	" 1p36.21 "	" 400735 "
7898048	"NM_001045480 "	" PRAMEF16 "	" PRAME family member 16 "	" 1p36.21 "	" 654348 "
7898052	"NM_001099852 "	" PRAMEF20 "	" PRAME family member 20 "	" 1p36.21 "	" 645425 "
7898057	"NM_001006624 "	" PDPN "	" podoplanin "	" 1p36.21 "	" 10630 "
7898070	"NM_001007257 "	" PRDM2 "	" PR domain containing 2, with ZNF domain "	" 1p36.21 "	" 7799 "
7898084	"ENST00000400797 "	" KAZN "	" kazrin, periplakin interacting protein "	" 1p36.21 "	" 23254 "
7898102	"NM_201628 "	" KAZN "	" kazrin, periplakin interacting protein "	" 1p36.21 "	" 23254 "
7898112	"AK095631 "	" TMEM51-AS1 "	" TMEM51 antisense RNA 1 "	" 1p36.21 "	" 200197"
7898115	"NM_001136218 "	" TMEM51 "	" transmembrane protein 51 "	" 1p36.21 "	" 55092 "
7898124	"NM_052929 "	" FHAD1 "	" forkhead-associated (FHA) phosphopeptide binding domain 1 "	" 1p36.21 "	" 114827 "
7898161	"NM_024329 "	" EFHD2 "	" EF-hand domain family, member D2 "	" 1p36.21 "	" 79180 "
7898167	"NM_007272 "	" CTRC "	" chymotrypsin C (caldecrin) "	" 1p36.21 "	" 11330 "
7898176	"NM_033440 "	" CELA2A "	" chymotrypsin-like elastase family, member 2A "	" 1p36.21 "	" 63036 "
7898184	"NM_015849 "	" CELA2B "	" chymotrypsin-like elastase family, member 2B "	" 1p36.21 "	" 51032 "
7898192	"NM_001287811 "	" DNAJC16 "	" DnaJ (Hsp40) homolog, subfamily C, member 16 "	" 1p36.1 "	" 23341 "
7898209	"ENST00000454346 "	" CHCHD2P6 "	" coiled-coil-helix-coiled-coil-helix domain containing 2 pseudogene 6 "	" --- "	" ---"
7898211	"NM_006511 "	" RSC1A1 "	" regulatory solute carrier protein, family 1, member 1 "	" 1p36.1 "	" 6248 "
7898227	"NM_015164 "	" PLEKHM2 "	" pleckstrin homology domain containing, family M (with RUN domain) member 2 "	" 1p36.21 "	" 23207 "
7898249	"NM_207348 "	" SLC25A34 "	" solute carrier family 25, member 34 "	" 1p36.21 "	" 284723 "
7898256	"NM_001013641 "	" TMEM82 "	" transmembrane protein 82 "	" 1p36.21 "	" 388595 "
7898263	"NM_001024215 "	" FBLIM1 "	" filamin binding LIM protein 1 "	" 1p36.21 "	" 54751 "
7898276	""	""	""	""	""
7898278	"NM_015001 "	" SPEN "	" spen family transcriptional repressor "	" 1p36 "	" 23013 "
7898294	""	""	""	""	""
7898296	"NM_178840 "	" C1orf64 "	" chromosome 1 open reading frame 64 "	" 1p36.13 "	" 149563 "
7898300	"NM_001042704 "	" CLCNKA "	" chloride channel, voltage-sensitive Ka "	" 1p36 "	" 1187 "
7898314	"NM_001165945 "	" CLCNKB "	" chloride channel, voltage-sensitive Kb "	" 1p36 "	" 1188 "
7898328	"NM_001114600 "	" SZRD1 "	" SUZ RNA binding domain containing 1 "	" 1p36.13 "	" 26099 "
7898337	"NM_001145277 "	" NECAP2 "	" NECAP endocytosis associated 2 "	" 1p36.13 "	" 55707 "
7898350	"XM_006711085 "	" LOC102724970 "	" putative uncharacterized protein FLJ35883-like "	" --- "	" 102724970 "
7898353	"NM_001282321 "	" FAM231A "	" family with sequence similarity 231, member A "	" 1p36.13 "	" 729574 "
7898355	""	""	""	""	""
7898357	"NM_020998 "	" MST1 "	" macrophage stimulating 1 (hepatocyte growth factor-like) "	" 3p21 "	" 4485 "
7898371	"NM_001282321 "	" FAM231A "	" family with sequence similarity 231, member A "	" 1p36.13 "	" 729574 "
7898373	""	""	""	""	""
7898375	"NR_004400 "	" RNVU1-18 "	" RNA, variant U1 small nuclear 18 "	" 1q21.2 "	" 26863 "
7898377	"NM_014675 "	" CROCC "	" ciliary rootlet coiled-coil, rootletin "	" 1p36.13 "	" 9696 "
7898405	""	""	""	""	""
7898407	"ENST00000362684 "	" LOC440570 "	" uncharacterized LOC440570 "	" 1p36.13 "	" 440570 "
7898411	"NR_004400 "	" RNVU1-18 "	" RNA, variant U1 small nuclear 18 "	" 1q21.2 "	" 26863 "
7898413	"NM_013358 "	" PADI1 "	" peptidyl arginine deiminase, type I "	" 1p36.13 "	" 29943 "
7898431	"NM_016233 "	" PADI3 "	" peptidyl arginine deiminase, type III "	" 1p36.13 "	" 51702 "
7898448	"ENST00000375453 "	" PADI4 "	" peptidyl arginine deiminase, type IV "	" 1p36.13 "	" 23569 "
7898466	"NM_207421 "	" PADI6 "	" peptidyl arginine deiminase, type VI "	" 1p36.13 "	" 353238 "
7898483	"NM_001011722 "	" ARHGEF10L "	" Rho guanine nucleotide exchange factor (GEF) 10-like "	" 1p36.13 "	" 55160 "
7898516	"NM_030812 "	" ACTL8 "	" actin-like 8 "	" 1p36.2-p35 "	" 81569 "
7898521	"NM_032880 "	" IGSF21 "	" immunoglobin superfamily, member 21 "	" 1p36.13 "	" 84966 "
7898533	"NM_152375 "	" KLHDC7A "	" kelch domain containing 7A "	" 1p36.13 "	" 127707 "
7898535	""	""	""	""	""
7898537	"NM_001135254 "	" PAX7 "	" paired box 7 "	" 1p36.13 "	" 5081 "
7898549	"NM_016183 "	" MRTO4 "	" mRNA turnover 4 homolog (S. cerevisiae) "	" 1p36.13 "	" 51154 "
7898556	"NM_001040125 "	" PQLC2 "	" PQ loop repeat containing 2 "	" 1p36.13 "	" 54896 "
7898568	"AK130383 "	" LOC644083 "	" uncharacterized LOC644083 "	" 1p36.13 "	" 644083"
7898570	"ENST00000481521 "	" RN7SL277P "	" RNA, 7SL, cytoplasmic 277, pseudogene "	" --- "	" ---"
7898572	"ENST00000364739 "	" RNU4-28P "	" RNA, U4 small nuclear 28, pseudogene "	" --- "	" ---"
7898574	"NM_001032363 "	" MINOS1 "	" mitochondrial inner membrane organizing system 1 "	" 1p36.13 "	" 440574 "
7898582	"NR_077246 "	" RPS14P3 "	" ribosomal protein S14 pseudogene 3 "	" 1p36.13 "	" 644068 "
7898585	"NM_001204084 "	" NBL1 "	" neuroblastoma 1, DAN family BMP antagonist "	" 1p36.13 "	" 4681 "
7898594	"NM_000871 "	" HTR6 "	" 5-hydroxytryptamine (serotonin) receptor 6, G protein-coupled "	" 1p36-p35 "	" 3362 "
7898602	"NM_015207 "	" OTUD3 "	" OTU deubiquitinase 3 "	" 1p36.13 "	" 23252 "
7898607	"ENST00000488028 "	" RN7SL304P "	" RNA, 7SL, cytoplasmic 304, pseudogene "	" --- "	" ---"
7898609	"NM_000929 "	" PLA2G5 "	" phospholipase A2, group V "	" 1p36-p34 "	" 5322 "
7898616	"NM_022819 "	" PLA2G2F "	" phospholipase A2, group IIF "	" 1p35 "	" 64600 "
7898623	"NM_152376 "	" UBXN10 "	" UBX domain protein 10 "	" 1p36.12 "	" 127733 "
7898627	"NM_001039500 "	" VWA5B1 "	" von Willebrand factor A domain containing 5B1 "	" 1p36.12 "	" 127731 "
7898653	"NM_207334 "	" FAM43B "	" family with sequence similarity 43, member B "	" 1p36.12 "	" 163933 "
7898655	"NM_001785 "	" CDA "	" cytidine deaminase "	" 1p36.2-p35 "	" 978 "
7898663	"NM_032409 "	" PINK1 "	" PTEN induced putative kinase 1 "	" 1p36 "	" 65018 "
7898673	"ENST00000486095 "	" PPP1R11P1 "	" protein phosphatase 1, regulatory (inhibitor) subunit 11 pseudogene 1 "	" --- "	" ---"
7898675	""	""	""	""	""
7898677	"NM_004807 "	" HS6ST1 "	" heparan sulfate 6-O-sulfotransferase 1 "	" 2q21 "	" 9394 "
7898679	"NM_001256416 "	" NBPF3 "	" neuroblastoma breakpoint family, member 3 "	" 1p36.12 "	" 84224 "
7898693	"XM_005245820 "	" ALPL "	" alkaline phosphatase, liver/bone/kidney "	" 1p36.12 "	" 249 "
7898707	"NM_001013693 "	" LDLRAD2 "	" low density lipoprotein receptor class A domain containing 2 "	" 1p36.12 "	" 401944 "
7898713	"NM_007352 "	" CELA3B "	" chymotrypsin-like elastase family, member 3B "	" 1p36.12 "	" 23436 "
7898721	"ENST00000485776 "	" RN7SL386P "	" RNA, 7SL, cytoplasmic 386, pseudogene "	" --- "	" ---"
7898723	"ENST00000364403 "	" RNU6-776P "	" RNA, U6 small nuclear 776, pseudogene "	" --- "	" --- "
7898725	"NM_005747 "	" CELA3A "	" chymotrypsin-like elastase family, member 3A "	" 1p36.12 "	" 10136 "
7898732	"ENST00000466485 "	" RN7SL186P "	" RNA, 7SL, cytoplasmic 186, pseudogene "	" --- "	" ---"
7898734	"ENST00000364403 "	" RNU6-776P "	" RNA, U6 small nuclear 776, pseudogene "	" --- "	" --- "
7898736	"NR_023918 "	" LINC00339 "	" long intergenic non-protein coding RNA 339 "	" 1p36.12 "	" 29092 "
7898739	"NM_044472 "	" CDC42 "	" cell division cycle 42 "	" 1p36.1 "	" 998 "
7898750	"NM_001083621 "	" ZBTB40 "	" zinc finger and BTB domain containing 40 "	" 1p36 "	" 9923 "
7898773	"NM_001006943 "	" EPHA8 "	" EPH receptor A8 "	" 1p36.12 "	" 2046 "
7898793	"NM_015991 "	" C1QA "	" complement component 1, q subcomponent, A chain "	" 1p36.12 "	" 712 "
7898799	"NM_001114101 "	" C1QC "	" complement component 1, q subcomponent, C chain "	" 1p36.11 "	" 714 "
7898805	"NM_000491 "	" C1QB "	" complement component 1, q subcomponent, B chain "	" 1p36.12 "	" 713 "
7898809	"NM_004442 "	" EPHB2 "	" EPH receptor B2 "	" 1p36.1-p35 "	" 2048 "
7898833	"NM_001009999 "	" KDM1A "	" lysine (K)-specific demethylase 1A "	" 1p36.12 "	" 23028 "
7898854	"ENST00000384208 "	" RNU6-514P "	" RNA, U6 small nuclear 514, pseudogene "	" --- "	" ---"
7898856	"ENST00000516769 "	" RNU6-135P "	" RNA, U6 small nuclear 135, pseudogene "	" --- "	" ---"
7898858	"NR_033690 "	" C1orf213 "	" chromosome 1 open reading frame 213 "	" 1p36.12 "	" 148898 "
7898869	"NR_027042 "	" MDS2 "	" myelodysplastic syndrome 2 translocation associated "	" 1p36 "	" 259283 "
7898875	"NM_000975 "	" RPL11 "	" ribosomal protein L11 "	" 1p36.1-p35 "	" 6135 "
7898881	"NM_003198 "	" TCEB3 "	" transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A) "	" 1p36.1 "	" 6924 "
7898894	"NM_020362 "	" PITHD1 "	" PITH (C-terminal proteasome-interacting domain of thioredoxin-like) domain containing 1 "	" 1p36.11 "	" 57095 "
7898902	"NM_007260 "	" LYPLA2 "	" lysophospholipase II "	" 1p36.11 "	" 11313 "
7898910	"NM_017761 "	" PNRC2 "	" proline-rich nuclear receptor coactivator 2 "	" 1p36.11 "	" 55629 "
7898916	"NM_001195010 "	" GRHL3 "	" grainyhead-like 3 (Drosophila) "	" 1p36.11 "	" 57822 "
7898939	"NM_020448 "	" NIPAL3 "	" NIPA-like domain containing 3 "	" 1p36.12-p35.1 "	" 57185 "
7898957	"NM_001251977 "	" RCAN3 "	" RCAN family member 3 "	" 1p35.3-p33 "	" 11123 "
7898967	"NM_001010980 "	" NCMAP "	" noncompact myelin associated protein "	" 1p36.11 "	" 400746 "
7898975	"NM_005839 "	" SRRM1 "	" serine/arginine repetitive matrix 1 "	" 1p36.11 "	" 10250 "
7898988	"NM_013943 "	" CLIC4 "	" chloride intracellular channel 4 "	" 1p36.11 "	" 25932 "
7898998	"NM_001282867 "	" RHD "	" Rh blood group, D antigen "	" 1p36.11 "	" 6007 "
7899005	"NM_014313 "	" TMEM50A "	" transmembrane protein 50A "	" 1p36.11 "	" 23585 "
7899016	"NM_001276506 "	" SDHD "	" succinate dehydrogenase complex, subunit D, integral membrane protein "	" 11q23 "	" 6392 "
7899018	"NM_018202 "	" TMEM57 "	" transmembrane protein 57 "	" 1p36.11|1p36.11 "	" 55219 "
7899023	"NM_015627 "	" LDLRAP1 "	" low density lipoprotein receptor adaptor protein 1 "	" 1p36-p35 "	" 26119 "
7899029	"NM_001289010 "	" MAN1C1 "	" mannosidase, alpha, class 1C, member 1 "	" 1p35 "	" 57134 "
7899043	"NM_020451 "	" SEPN1 "	" selenoprotein N, 1 "	" 1p36.13 "	" 57190 "
7899057	"NM_001099625 "	" MTFR1L "	" mitochondrial fission regulator 1-like "	" 1p36.11 "	" 56181 "
7899069	""	""	""	""	""
7899071	"ENST00000384508 "	" RNU6-110P "	" RNA, U6 small nuclear 110, pseudogene "	" --- "	" ---"
7899073	""	""	""	""	""
7899075	"NM_004455 "	" EXTL1 "	" exostosin-like glycosyltransferase 1 "	" 1p36.1 "	" 2134 "
7899087	"NM_001243532 "	" PDIK1L "	" PDLIM1 interacting kinase 1 like "	" 1p36.11 "	" 149420 "
7899093	"NM_024869 "	" FAM110D "	" family with sequence similarity 110, member D "	" 1p36.11 "	" 79927 "
7899096	"NM_015871 "	" ZNF593 "	" zinc finger protein 593 "	" 1p36.11 "	" 51042 "
7899101	"NM_006314 "	" CNKSR1 "	" connector enhancer of kinase suppressor of Ras 1 "	" 1p36.11 "	" 10256 "
7899124	"NM_198137 "	" CATSPER4 "	" cation channel, sperm associated 4 "	" 1p35.3 "	" 378807 "
7899134	"NM_001281517 "	" CEP85 "	" centrosomal protein 85kDa "	" 1p36.11 "	" 64793 "
7899151	""	""	""	""	""
7899153	"NM_031286 "	" SH3BGRL3 "	" SH3 domain binding glutamate-rich protein like 3 "	" 1p36.11 "	" 83442 "
7899160	"NM_001803 "	" CD52 "	" CD52 molecule "	" 1p36 "	" 1043 "
7899167	"NM_024674 "	" LIN28A "	" lin-28 homolog A (C. elegans) "	" 1p36.11 "	" 79727 "
7899173	"NM_001243564 "	" DHDDS "	" dehydrodolichyl diphosphate synthase "	" 1p36.11 "	" 79947 "
7899187	"NM_005517 "	" HMGN2 "	" high mobility group nucleosomal binding domain 2 "	" 1p36.1 "	" 3151 "
